Appendix A (DAMS),,,,,,,,,,
,,,,,,,,,,
Campus,Collection,Description,Status,Access Restrictions,URL,Extent:Size,Hosted,Metadata level,Metadata standard,Need for DAMS solution
(asterisk * denotes campus selection for collections most in need of a DAMS solution),,,,,,,,,,
UCB,"No collections immediately in need of DAMS solution, but once system exists would be interested in investigating potential for it to serve some needs.",,,,,,,,,
UCD,On demand patron requests*,,,,,,,,,High
UCD,Halberstadt Collection*,"Selections of photographs, proofs, transparencies, and negatives of Milton ""Hal"" Halberstadt commericial and artistic photography.",Planning,No,,,,Item; Collection,MODS; METS (forthcoming); EAD,High
UCD,Viticulture Lectures*,Amerine Lectures.,Ongoing,,,,Local (UCD File Server),None,,High
UCD,Crowly Carnivale Films*,Videos,Ongoing,No,,,Local (UCD File Server),None,,High
UCD,1937 Yolo County Aerial Photographs ,This collection consists of approximately 620 aerial photos taken in Yolo County in 1937. ,Planning,Other (want to make public but need to develop a means to discovery),Internet/Web:  UCD Internal ,48GB,Local (UCD File Server),Item,MODS (very minimal); METS,High
UCD,Electronic Theses and Dissertations,,Ongoing,No (except embargoed),,,Third-party (ProQuest and hopefully eScholarship in the future),Item,MARC,High
UCD,University Archives Photos ,"The collection contains photographic prints and negatives, and depicts buildings and grounds, faculty and staff, annual events such as Picnic Day, campus events, classes and classrooms, student clubs and activities, departments, and sporting events. ",Ongoing,No,http://oac.cdlib.org/findaid/ark:/13030/kt5h4nf5dx/,116GB,CDL (Calisphere and OAC),Item; Collection,MODS; METS,High
UCD,Eastman Originals,,Complete ,No,http://oac.cdlib.org/findaid/ark:/13030/tf6w100646/,193GB,CDL (Calisphere and OAC),Item; Collection,METS; MARC; EAD,High
UCD,Higgins Images of Mexican Beet Workers,"In 1942, Higgins took photographs of Mexican workers entering the United States ""brought in for the [sugar] beet harvest"" for California Fields Crops, Inc. and as Higgins explains in a letter that he tried ""to catch a lot of the social side in pictures."" The photographs were taken mainly in the agricultural areas of the California communities of Woodland, Pleasanton, Manteca, and Salinas. ",Complete ,No,http://oac.cdlib.org/findaid/ark:/13030/kt309nf08j/,,CDL (Calisphere and OAC),Item; Collection,"MODS, METS, EAD",High
UCD,British Women Romantic Poets,"The British Women Romantic Poets is a collection of works published by British women poets between 1789 and 1832. Texts are drawn from the UCD Library's Kohler Collection of British Poetry, over 14,000 texts housed in the Special Collections Department and on microfilm. A more detailed description of the project may be found here: http://digital.lib.ucdavis.edu/projects/bwrp/BWRPDesc.htm ",Completed (discontinued),No,http://digital.lib.ucdavis.edu/projects/bwrp/,1.5 GB,Locally (UCD Library Web Server); CDL (OAC),Item; Collection,"MARC(for most), METS (for most), EAD Finding Aid ",Medium
UCD,Bulletin of Calif. division of Mines and Geology,The Bulletin of the California Division of Mines and Geology collection is a series of publications published from 1888 to 2001 by the Division and its predecessor agencies.,Complete ,No,http://archive.org/search.php?query=collection%3A%22caminesgeo%22,,Third-party (Internet Archive),Item,MARC,Medium
UCD,Bulleting of Calif. Dept. of Water Resources,The Bulletin of the California Department of Water Resources is a collection of volumes published from 1922 to 2004 by the Department and its predecessor agencies. ,Complete ,No,http://archive.org/search.php?query=collection%3A%22cawaterres%22,,Third-party (Internet Archive),Item,MARC,Medium
UCD,California Agricultural Experiment Station Publications,This is a collection of publications produced by the University of California’s Agricultural Experiment Station. It contains all items in the Bulletin series which was published from 1884 to 1983.  It also contains other series produced by the California Agricultural Experiment Station.,Ongoing,No,http://archive.org/details/californiaagriculturalexperimentstationpublications,,Third-party (Internet Archive),Item,MARC,Medium
UCD,K.W. Lee Papers,Contains court records and correspondence documenting Chol Soo Lee murder case and appeals.  Also include digitized issues of Koreatown Newspaper.,Complete,No,,130GB,CDL (Calisphere and OAC),Item; Collection,"MODS, METS",Medium
UCD,Labor Contracts (UFW),This collection provides digital access to contracts between the United Farm Workers Union AFL-CIO and California growers spanning about 30 years. The project is a collaboration between the Digital Initiatives program and the Agricultural and Resource Economics Library. The goal of the project is to provide researchers with access to a searchable and browseable collection of otherwise elusive materials. ,Completed,No,,4291MB,Locally (UCD Library Web Server); CDL (OAC),Item,"MARC, TEI ",Low
UCI,F. Sherwood Rowland born digital files*,"Dr. F. Sherwood Rowland, Donald Bren Research Professor of Chemistry in Earth System Science, came to the University of California Irvine in 1964 as the first chair of the Department of Chemistry. Dr. Rowland was, with postdoctoral colleague Mario Molina, the first to warn that chlorofluorocarbons (CFCs) released into the atmosphere were depleting the earth’s critical ozone layer. Collection comprises Desktop and Document directories from Dr. Rowland's Mac and Macbook Pro.",Planning,,,12 Gb,"Current: Locally (Redundantly on hard drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)","Future: Series Level, Item Level",,Medium
UCI,J. Hillis Miller born digital files*,"3 1/2"" floppy disks: approximately 300 Ranges from 720 KB to 1.4 MB each; 5 1/4"" floppy disks: 152 Ranges from 360 KB to 1.2 MB each; External hard drives: 2 Unknown MB",Ongoing,Yes (while in progress),,25 Gb,"Current: Locally (floppy disks and USB Hard Drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)","Future: Series Level, Item Level",,Medium
UCI,Stanley Fish born digital files*,"80 3.5"" Floppies
158 5.25"" Floppies
1 external HD - Unknown Size",Planning,,,,"Current: Locally (floppy disks and USB Hard Drives), Future: CDL (Merritt for Preservation) and Locally (UCISpace)","Future: Series Level, Item Level",,Medium
UCI,Edward Cochems photographs,"This collection is comprised of approximately 1,200 photographs taken by Edward W. Cochems, a prominent commercial photographer in Santa Ana, California, between ca. 1919-ca. 1949.  The images are principally views of Southern California, primarily Orange County locations.  ",Ongoing,Yes (while in progress),n/a,14.7 Gb,Locally (Canto Cumulus),Item,Custom,High
