File	Campus	Collection	Description	Status	Access Restrictions	URL	Extent:Size	Hosted	Need for DAMS solution	Metadata standard	Metadata level	Ready for Surfacing
appendixA.csv	UCD	On demand patron requests							High			
appendixA.csv	UCD	Halberstadt Collection	"Selections of photographs, proofs, transparencies, and negatives of Milton ""Hal"" Halberstadt commericial and artistic photography."	Planning	No				High	MODS; METS (forthcoming); EAD	Item level; Collection level	
appendixA.csv	UCD	Viticulture Lectures	Amerine Lectures.	Ongoing				Local (UCD File Server)	High		None	
appendixA.csv	UCD	Crowly Carnivale Films	Videos	Ongoing	No			Local (UCD File Server)	High		None	
appendixA.csv	UCD	1937 Yolo County Aerial Photographs	This collection consists of approximately 620 aerial photos taken in Yolo County in 1937.	Planning	No		48GB	Local (UCD File Server)	High	MODS (very minimal); METS	Item	
appendixA.csv	UCD	Electronic Theses and Dissertations		Ongoing	Some items restricted			Third-party (ProQuest and hopefully eScholarship in the future)	High	MARC	Item	
appendixA.csv	UCD	University Archives Photos	The collection contains photographic prints and negatives, and depicts buildings and grounds, faculty and staff, annual events such as Picnic Day, campus events, classes and classrooms, student clubs and activities, departments, and sporting events.	Ongoing	No	http://oac.cdlib.org/findaid/ark:/13030/kt5h4nf5dx/	116GB	CDL (Calisphere/OAC)	High	MODS; METS	Item level; Collection level	
appendixA.csv	UCD	Eastman Originals		Completed	No	http://oac.cdlib.org/findaid/ark:/13030/tf6w100646/	193GB	CDL (Calisphere/OAC)	High	METS; MARC; EAD	Item level; Collection level	
appendixA.csv	UCD	Higgins Images of Mexican Beet Workers	"In 1942, Higgins took photographs of Mexican workers entering the United States ""brought in for the [sugar] beet harvest"" for California Fields Crops, Inc. and as Higgins explains in a letter that he tried ""to catch a lot of the social side in pictures."" The photographs were taken mainly in the agricultural areas of the California communities of Woodland, Pleasanton, Manteca, and Salinas."	Completed	No	http://oac.cdlib.org/findaid/ark:/13030/kt309nf08j/		CDL (Calisphere/OAC)	High	MODS, METS, EAD	Item level; Collection level	
appendixA.csv	UCD	British Women Romantic Poets	The British Women Romantic Poets is a collection of works published by British women poets between 1789 and 1832. Texts are drawn from the UCD Library's Kohler Collection of British Poetry, over 14,000 texts housed in the Special Collections Department and on microfilm. A more detailed description of the project may be found here: http://digital.lib.ucdavis.edu/projects/bwrp/BWRPDesc.htm	Completed	No	http://digital.lib.ucdavis.edu/projects/bwrp/	1.5 GB	Locally (UCD Library Web Server); CDL (OAC)	Medium	MARC(for most), METS (for most), EAD Finding Aid 	Item level; Collection level	
appendixA.csv	UCD	Bulletin of Calif. division of Mines and Geology	The Bulletin of the California Division of Mines and Geology collection is a series of publications published from 1888 to 2001 by the Division and its predecessor agencies.	Completed	No	http://archive.org/search.php?query=collection%3A%22caminesgeo%22		Third-party (Internet Archive)	Medium	MARC	Item	
appendixA.csv	UCD	Bulleting of Calif. Dept. of Water Resources	The Bulletin of the California Department of Water Resources is a collection of volumes published from 1922 to 2004 by the Department and its predecessor agencies.	Completed	No	http://archive.org/search.php?query=collection%3A%22cawaterres%22		Third-party (Internet Archive)	Medium	MARC	Item	
appendixA.csv	UCD	California Agricultural Experiment Station Publications	This is a collection of publications produced by the University of Californiaís Agricultural Experiment Station. It contains all items in the Bulletin series which was published from 1884 to 1983. It also contains other series produced by the California Agricultural Experiment Station.	Ongoing	No	http://archive.org/details/californiaagriculturalexperimentstationpublications		Third-party (Internet Archive)	Medium	MARC	Item	
